participant_id,participant_order_group,run_start_iso,session_tag,condition_index,factor_condition_id,block_number,condition_block_index,blocks_per_condition,technique,technique_order_index,technique_block_condition_index,size_level,radius_px,spacing_level,min_sep_px,num_targets,canvas_w,canvas_h,trial_in_block,global_trial_number,goal_target_id,goal_x,goal_y,prev_goal_x,prev_goal_y,A_px,W_px,ID_bits,time_ms,wrong_target_clicks,miss_clicks,total_errors,path_length_px,throughput_bps,trial_start_timestamp_ms,trial_end_timestamp_ms,last_click_x,last_click_y,captured_target_id_correct_click
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,14,2,3,POINT,0,4,M,16,LOOSE,28,30,960,500,2,67,12,324.103,455.486,769.996,94.015,574.005,32,4.243,771,0,0,0,593.727,5.503,1772906745416,1772906746187,318,456.625,12
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,14,2,3,POINT,0,4,M,16,LOOSE,28,30,960,500,3,68,8,883.796,146.269,324.103,455.486,639.431,32,4.391,775,0,0,0,833.877,5.666,1772906746187,1772906746962,870,143.625,8
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,14,2,3,POINT,0,4,M,16,LOOSE,28,30,960,500,4,69,18,921.404,343.88,883.796,146.269,201.158,32,2.865,805,0,0,0,891.822,3.559,1772906746962,1772906747767,919,350.625,18
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,14,2,3,POINT,0,4,M,16,LOOSE,28,30,960,500,5,70,9,383.933,412.598,921.404,343.88,541.847,32,4.165,731,0,0,0,665.661,5.697,1772906747767,1772906748498,378,411.625,9
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,15,3,3,POINT,0,4,M,16,LOOSE,28,30,960,500,1,71,4,736.922,402.374,480,250,298.709,32,3.369,766,0,0,0,366.9,4.399,1772906748903,1772906749669,724,396.625,4
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,15,3,3,POINT,0,4,M,16,LOOSE,28,30,960,500,2,72,15,212.62,171.347,736.922,402.374,572.945,32,4.241,666,0,0,0,559.122,6.367,1772906749669,1772906750335,223,172.625,15
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,15,3,3,POINT,0,4,M,16,LOOSE,28,30,960,500,3,73,20,603.921,85.643,212.62,171.347,400.576,32,3.757,586,0,0,0,541.49,6.411,1772906750335,1772906750921,602,91.625,20
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,15,3,3,POINT,0,4,M,16,LOOSE,28,30,960,500,4,74,9,627.265,343.23,603.921,85.643,258.643,32,3.183,936,0,1,1,290.814,3.401,1772906750921,1772906751857,622,346.625,9
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,15,3,3,POINT,0,4,M,16,LOOSE,28,30,960,500,5,75,13,459.036,318.964,627.265,343.23,169.97,32,2.658,652,0,0,0,227.382,4.077,1772906751857,1772906752509,455,320.625,13
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,16,1,3,POINT,0,5,L,22,LOOSE,28,30,960,500,1,76,12,689.611,299.304,480,250,215.332,44,2.559,584,0,0,0,243.081,4.382,1772906752899,1772906753483,686,304.625,12
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,16,1,3,POINT,0,5,L,22,LOOSE,28,30,960,500,2,77,21,112.708,275.568,689.611,299.304,577.392,44,3.82,664,0,0,0,576.817,5.753,1772906753483,1772906754147,112,275.625,21
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,16,1,3,POINT,0,5,L,22,LOOSE,28,30,960,500,3,78,6,814.425,327.243,112.708,275.568,703.618,44,4.087,677,0,0,0,744.056,6.037,1772906754147,1772906754824,813,325.625,6
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,16,1,3,POINT,0,5,L,22,LOOSE,28,30,960,500,4,79,8,238.232,87.457,814.425,327.243,624.096,44,3.924,702,0,0,0,670.649,5.59,1772906754824,1772906755526,227,76.625,8
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,16,1,3,POINT,0,5,L,22,LOOSE,28,30,960,500,5,80,2,373.361,224.203,238.232,87.457,192.248,44,2.425,534,0,0,0,536.408,4.541,1772906755526,1772906756060,357,211.625,2
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,17,2,3,POINT,0,5,L,22,LOOSE,28,30,960,500,1,81,17,856.979,433.26,480,250,419.163,44,3.396,837,0,0,0,516.589,4.057,1772906756445,1772906757282,849,419.625,17
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,17,2,3,POINT,0,5,L,22,LOOSE,28,30,960,500,2,82,15,725.73,259.129,856.979,433.26,218.055,44,2.574,913,0,1,1,1007.093,2.82,1772906757282,1772906758195,715,246.625,15
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,17,2,3,POINT,0,5,L,22,LOOSE,28,30,960,500,3,83,6,747.253,182.433,725.73,259.129,79.659,44,1.491,664,0,0,0,615.646,2.245,1772906758195,1772906758859,747,181.625,6
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,17,2,3,POINT,0,5,L,22,LOOSE,28,30,960,500,4,84,5,675.689,191.339,747.253,182.433,72.116,44,1.4,555,0,0,0,379.867,2.523,1772906758859,1772906759414,693,180.625,5
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,17,2,3,POINT,0,5,L,22,LOOSE,28,30,960,500,5,85,22,135.79,460.063,675.689,191.339,603.078,44,3.878,741,0,0,0,661.382,5.234,1772906759414,1772906760155,133,460.625,22
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,18,3,3,POINT,0,5,L,22,LOOSE,28,30,960,500,1,86,29,752.506,176.731,480,250,282.184,44,2.89,627,0,0,0,434.13,4.609,1772906760537,1772906761164,749,168.625,29
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,18,3,3,POINT,0,5,L,22,LOOSE,28,30,960,500,2,87,0,603.205,426.588,752.506,176.731,291.066,44,2.929,558,0,0,0,437.609,5.249,1772906761164,1772906761722,592,421.625,0
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,18,3,3,POINT,0,5,L,22,LOOSE,28,30,960,500,3,88,10,253.398,137.72,603.205,426.588,453.663,44,3.5,588,0,0,0,490.361,5.952,1772906761722,1772906762310,238,122.625,10
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,18,3,3,POINT,0,5,L,22,LOOSE,28,30,960,500,4,89,7,412.791,56.362,253.398,137.72,178.956,44,2.341,886,0,1,1,440.823,2.642,1772906762310,1772906763196,417,57.625,7
2,2,2026-03-07T18:04:11.534Z,20260307_130411,5,POINT_L_LOOSE,18,3,3,POINT,0,5,L,22,LOOSE,28,30,960,500,5,90,5,157.68,426.865,412.791,56.362,449.838,44,3.488,682,0,0,0,507.121,5.115,1772906763196,1772906763878,167,421.625,5
2,2,2026-03-07T18:04:11.534Z,20260307_130411,6,POINT_S_LOOSE,19,1,3,POINT,0,6,S,10,LOOSE,28,30,960,500,1,91,21,722.343,268.637,480,250,243.058,20,3.717,774,0,0,0,251.691,4.803,1772906764241,1772906765015,718,265.625,21
2,2,2026-03-07T18:04:11.534Z,20260307_130411,6,POINT_S_LOOSE,19,1,3,POINT,0,6,S,10,LOOSE,28,30,960,500,2,92,27,269.531,57.679,722.343,268.637,499.541,20,4.699,1178,0,1,1,615.681,3.989,1772906765015,1772906766193,271,53.625,27
